date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
12/7/2022,234,ranked,474,-36,no,12,2,Crypto,Pathfinder,Mirage,30,631,223,0,1,1,-1,884,2,135
12/7/2022,236,ranked,422,-41,no,13,2,Pathfinder,Horizon,Seer,287,415,532,0,0,0,2,1234,0,136
12/7/2022,237,ranked,46,-46,no,20,2,Pathfinder,Gibby,Lifeline,110,0,40,0,0,0,0,150,0,137
12/7/2022,239,ranked,203,-46,no,14,2,Pathfinder,Catalyst,Newcastle,114,0,398,0,0,1,1,512,1,138
12/7/2022,240,ranked,84,-46,no,18,2,Crypto,Fuse,Pathfinder,118,126,245,0,0,0,0,489,0,139
12/7/2022,241,ranked,434,-26,no,11,2,Crypto,Loba,Catalyst,440,131,407,1,1,1,0,978,3,140
12/7/2022,242,ranked,1148,254,no,1,2,Crypto,Horizon,Gibraltar,600,1911,1742,0,8,4,2,4253,12,141
12/8/2022,244,ranked,294,-49,no,14,2,Vantage,Horizon,Bangalore,0,167,269,0,0,0,1,436,0,142
12/8/2022,245,ranked,196,-49,no,16,2,Crypto,Horizon,Vantage,410,36,206,0,0,0,1,652,0,143
12/8/2022,246,ranked,1175,204,no,1,2,Crypto,Bangalore,Pathfinder,540,1026,807,1,3,2,0,2373,6,144
12/8/2022,247,ranked,970,-26,no,7,2,Crypto,Bangalore,Horizon,150,539,25,0,0,0,1,714,0,145
12/8/2022,248,ranked,139,-48,no,17,2,Crypto,Valkyrie,Bangalore,94,293,162,0,2,0,1,549,2,146
12/8/2022,249,ranked,985,-29,no,8,2,Crypto,Mirage,Loba,127,0,74,0,0,0,-1,201,0,147
12/8/2022,250,ranked,317,-49,no,17,2,Crypto,Octane,Caustic,345,49,140,0,0,0,0,534,0,148
12/8/2022,251,ranked,250,-49,no,15,2,Vantage,Bloodhound,Caustic,256,287,188,0,1,0,1,731,1,149
12/8/2022,252,ranked,415,-46,no,14,2,Vantage,Pathfinder,Seer,230,692,250,0,1,1,1,1172,2,150
12/8/2022,253,ranked,295,-46,no,15,2,Crypto,Vantage,Gibraltar,200,465,140,0,0,0,1,805,0,151
12/8/2022,254,ranked,1286,241,no,1,2,Crypto,Catalyst,Bangalore,1124,555,1084,3,4,1,0,2763,8,152
12/8/2022,255,ranked,1039,218,no,1,2,Crypto,Rampart,Bloodhound,749,448,657,2,2,3,1,1854,7,153
12/8/2022,257,ranked,1077,91,no,3,2,Vantage,Rampart,Revenant,1022,706,719,0,1,4,-1,2447,5,154
12/8/2022,258,ranked,1216,90,no,4,2,Vantage,Pathfinder,Rampart,1535,1522,1460,2,5,0,0,4517,7,155
12/8/2022,259,ranked,366,-29,no,13,2,Vantage,Revenant,Seer,354,495,610,0,3,2,0,1459,5,156
12/8/2022,260,ranked,845,-29,no,10,2,Vantage,Loba,Horizon,514,550,1450,0,0,1,1,2514,1,157
12/8/2022,261,ranked,275,-47,no,15,2,Vantage,Pathfinder,Rampart,150,368,139,1,1,0,0,657,2,158
12/8/2022,262,ranked,576,-5,no,7,2,Crypto,Ashe,Pathfinder,573,457,317,1,1,1,0,1347,3,159
12/8/2022,263,ranked,156,-49,no,18,2,Crypto,Vantage,Bloodhound,143,132,237,0,0,0,1,512,0,160
12/8/2022,264,ranked,235,-49,no,15,2,Crypto,Octane,Revenant,37,98,312,0,0,0,-1,447,0,161
12/8/2022,265,ranked,481,-44,no,11,2,Vantage,Bangalore,Lifeline,353,175,276,0,0,0,0,804,0,162
12/8/2022,266,ranked,442,-39,no,10,2,Vantage,Gibraltar,Bangalore,197,149,89,0,0,0,1,435,0,163
12/9/2022,267,ranked,201,-46,no,16,2,Vantage,Fuse,Wattson,317,302,552,0,1,2,0,1171,3,164
12/9/2022,269,ranked,127,-49,no,18,2,Vantage,Lifeline,Loba,8,150,0,0,0,0,0,158,0,165
12/9/2022,271,ranked,828,-11,yes,7,2,Vantage,Horizon,Pathfinder,1303,304,199,0,5,0,1,1806,5,166
12/9/2022,272,ranked,994,263,yes,1,2,Crypto,Pathfinder,Horizon,860,1107,1784,1,1,9,1,3751,11,167
12/9/2022,273,ranked,802,-39,yes,11,2,Crypto,Horizon,Pathfinder,107,32,170,0,1,0,1,309,1,168
12/9/2022,275,ranked,1043,44,no,6,2,Crypto,Horizon,Caustic,1317,951,955,3,0,2,1,3223,5,169
